track_id,track_name,artist_name
4dulFGnSzdNW3iNdxxzgy7,Lavish Lullaby,Masego
0tCJ4iU48j9B6xMjXx35Ht,Twin Size Mattress,The Front Bottoms
3a3dQOO19moXPeTt2PomoT,What You Heard,Sonder
25GC50HslaaruyrKjdu0lP,Your Betrayal,Bullet For My Valentine
5MjAFPcmrR1DYCgZrXCN4d,Turnin' Me Up,BJ The Chicago Kid
6Ju28M6P8Y8sLjBgWjyUUD,Hunger,Florence + The Machine
6MEDfjHxnVNcYmHe3mM6L2,Sweet Life,Frank Ocean
3kb38wezoUA8ki5jPYy3t5,Little Secrets,Passion Pit
5Wbjjde5ez7sx22OtmrXKV,Smile,Leven Kali
1RHuBRoACkLRo2vjGqFCwf,I Like America & America Likes Me,The 1975
1Ka4sX789wNftDGgjCO2h7,Falling Apart,Papa Roach
2WYop6dv85ED2WZD739g9v,Rolling Through,311
6y5CTUxwSD9yM8656nqOEV,Ipanema,Still Woozy
1h2LHhmyAXi8tPNLi806JA,"Shadow Man (feat. Phoelix, Smino & Saba)",Noname
6r64PMqq9VxnT0Xr3439uH,American Oxygen,X Ambassadors
79hkmJR3AgzYxwAM8SZwEo,Wylin',Always Never
6ISuXA3UCPMtsyEUGUTAyn,Stellar,Incubus
0iTpQYzJnYgh7kIxyq8A2O,Two Weeks,Grizzly Bear
73u7dTjaBTMyvs3KWOThGR,Surrounded (Fight My Battles),Michael W. Smith
7j43FohbLVulScL7S9sQZk,AUSLÄNDER,Rammstein
2iptAVf9jZerlywLwiGhak,Fallen Angel,Three Days Grace
2SiqlgLMfKQbczSMRp8drY,Into The Ocean,Blue October
0jmKzJmUEKNbC7eU8YfOiA,Mayonaise - Remastered,The Smashing Pumpkins
1mU8A0bKStnhYuS043o6Je,Go To War,Nothing More
7IoK6jZBxY7NMoQPoPXZCF,Passenger,Deftones
2YRDTr0reanrGZOTsWXdek,Zulu Screams (feat. Maleek Berry & Bibi Bourelly),GoldLink
1VZLEW5ZfcAbKZ94XQiSZF,Close To You,Frank Ocean
5l8oNQsDDPNFUIV5M4lzRJ,Free Animal,Foreign Air
2xECSFHPgCyElhTVRaHVYP,No More,Disturbed
3KAzxuniuBjRLG5cxcW0RP,I Refuse,Five Finger Death Punch
39Z6LCw3UEFYjQivDV1UF1,Low,The Driver Era
19zPT36WogsfBd8HIaUnt4,Castaway,Yuna
4kTkoT7mNXTJ21WwFTIDxA,Hookers,Tierra Whack
7uvDJFly0TCWWsK48NI1fx,I just need U.,TobyMac
5yDJpu0xh0d1w13gXaE3lS,The Heart From Your Hate,Trivium
0HDaKOlVAfUWXdFR2RhBtN,Down,311
7cO2S4l7b9Rtn5MqPHXTJU,Under The Gun,The Black Keys
4oGTdOClZUxcM2H3UmXlwL,Ironic,Alanis Morissette
1NZWiuy0mlnsrcYL2dhKt6,Love Broke Thru,TobyMac
3LJ0VnQrM545gKs9AFi4dC,Born To Live,311
3FUWD1PXnb6wxRpxqEp1zc,Let Go Today,Shoffy
35qwJUKVy1OIt0wQ3xEXi0,Round Here,Counting Crows
2v63nsrBRoEkFZGKaTXA2q,Bang Your Line (feat. Ty Dolla $ign),ELHAE
3Hx7RXqCS7Kzjy2ot2q1Gk,Fever,The Black Keys
6eMeqiSoQYtM8u3vvfth21,Stuck with Me,The Neighbourhood
2wc4wFgsQUDD79jItn4cHs,Worst Luck,6LACK
0ror2i7yC3O4iqS1Fmvhtb,Alkaline,Kota the Friend
66H06L8hktjhduwRDWntDT,Stand Still,Sabrina Claudio
4INAYJNWgPwA9RwVeM47mA,Vacation,Still Woozy
0GrHWVTDsaWcD4nrCGr7VE,Lost In Hollywood,System Of A Down
3498wF96LsgVgMkGmJzJOC,When I'm Small,Phantogram
2vupkXhwL4sNCRgNu72HCZ,Heart It Races - Dr Dog Version,Dr. Dog
6zeDYmP3ARpURvpK29Q09P,Someday,Sugar Ray
46ReZjLTWpWQo6U7g3m2Qg,Northern Redneck,Aaron Lewis
0ZpBPavoID3eDbaXKSWpAD,Friends (feat. Bon Iver),Francis and the Lights
2dmPVqFpmhNuggEB3niC9S,Stigmata,grandson
2QQDH8gt4nyxFu2XX6bhG8,Judas,Fozzy
2TNPagu8Z4zvDOpmnktF00,Warrior,Disturbed
06WohfoFEUa5faNy8f9S5N,Adrenalize,In This Moment
4Ipmi2u1eQ45RaYk4Rl512,Blank Marquee,Yuna
5av7NCtwaAsID0TJylcSD4,Solar Return,Kota the Friend
2gdSplXjHbjMMfLcwl3Nku,Come To the Table,Sidewalk Prophets
3FQCJI2t5LTbsRPfYVBSVB,Battle Symphony,Linkin Park
6OwwTVRndoy9aoDxsmrteR,Australia,The Shins
4akbPW1whJ6VDvXYeTA3vX,Casual Sex,My Darkest Days
3GiJq4AQK7324mfIQbpiTf,Custer,Slipknot
3sp3wHVuQ3CRtsZykHDtKq,Hollywood,Kota the Friend
6wa4KnRz7LjGeMkpIa1mAI,Flawless,MercyMe
7rR5X9RKz5VprclstYOLb5,Breakers Roar,Sturgill Simpson
7r7HYGxvCIXzHicl5DGIxM,You Might Be Sleeping,Jakob Ogawa
5MZQIjtghyFc4sMVUzD7MD,Kickback,Omar Apollo
4AU7z13HYmPMetlWbq1mys,Waiting for Superman,Daughtry
598Dy3TgV1SQulwjPOM0Z2,Forever On Your Side (with JOHNNYSWIM),NEEDTOBREATHE
5Cl9GDb0AyQnppRr6q7ldb,Broken,From Ashes to New
6aRwLqDf1bN3lI2gMd6wXp,In Christ Alone - Live,Passion
7ewrtrIaGOiKh3G0zD5egG,Counting Every Blessing,Rend Collective
7LaI3mRTJu66r9HKdv7iBx,Gang Over Luv,Brent Faiyaz
5erTWXdADowSkh825UUOho,Can I,Alina Baraz
4vAHXnJ5YWLq5hbIVzZS1h,Spiders,System Of A Down
4KliQFRlvNKnlVYzMMbSMq,A Favor House Atlantic,Coheed and Cambria
1dX6oGAG5PaexuPj29PsYd,I Can't Go On Without You,KALEO
38paDDziQ57k1f4VfKTeGk,California Stars,Billy Bragg
0y98sgsXdhGS07vOGSFWVL,American Bad Ass,Kid Rock
6h2t5HKOpHjpou4cHA5OER,Cocky,Kid Rock
